dataset,instance_id,sample,x,y,z_cot,z_act,cot_chars,no_answer,z_noop
gpqa_encoded,758,9,0,0,0,0,9025,0,0
gpqa_encoded,758,10,0,0,0,0,8172,0,0
gpqa_encoded,758,11,0,1,0,0,19847,0,1
gpqa_encoded,758,12,0,0,0,0,9840,0,0
gpqa_encoded,758,13,0,1,0,0,6915,0,1
gpqa_encoded,758,14,0,0,0,0,5943,0,0
gpqa_encoded,758,15,0,0,0,0,12495,0,0
gpqa_encoded,758,16,0,0,0,0,16231,0,0
gpqa_encoded,758,17,0,1,0,0,8864,0,1
gpqa_encoded,758,18,0,0,0,0,6584,0,0
gpqa_encoded,758,19,0,0,0,0,7752,0,0
gpqa_encoded,758,20,0,0,0,0,5736,0,0
gpqa_encoded,758,21,0,0,0,0,8614,0,0
gpqa_encoded,758,22,0,0,0,0,2330,0,0
gpqa_encoded,758,23,0,0,0,0,7543,0,0
gpqa_encoded,758,0,1,1,1,0,3713,0,1
gpqa_encoded,758,1,1,1,1,0,3308,0,1
gpqa_encoded,758,2,1,0,0,0,6584,0,0
gpqa_encoded,758,3,1,0,0,0,7244,0,0
gpqa_encoded,758,4,1,1,0,0,15950,0,1
gpqa_encoded,758,5,1,1,0,0,1932,0,1
gpqa_encoded,758,6,1,0,0,0,10681,0,0
gpqa_encoded,758,7,1,0,0,0,8130,0,0
gpqa_encoded,758,8,1,0,0,0,3993,0,0
gpqa_encoded,758,9,1,1,0,0,6824,0,1
gpqa_encoded,758,10,1,1,0,0,9955,0,1
gpqa_encoded,758,11,1,0,0,0,3643,0,0
gpqa_encoded,758,12,1,1,0,0,9503,0,1
gpqa_encoded,758,13,1,1,1,0,3301,0,1
gpqa_encoded,758,14,1,1,0,0,11168,0,1
gpqa_encoded,758,15,1,0,0,0,4840,0,0
gpqa_encoded,758,16,1,1,0,0,12903,0,1
gpqa_encoded,758,17,1,0,0,0,12597,0,0
gpqa_encoded,758,18,1,0,0,0,6730,0,0
gpqa_encoded,758,19,1,1,0,0,9256,0,1
gpqa_encoded,758,20,1,0,0,0,7767,0,0
gpqa_encoded,758,21,1,1,0,0,8237,0,1
gpqa_encoded,758,22,1,0,0,0,15086,0,0
gpqa_encoded,758,23,1,1,0,0,15323,0,1
gpqa_encoded,13,0,0,0,0,0,3242,0,0
gpqa_encoded,13,1,0,1,0,0,5211,0,1
gpqa_encoded,13,2,0,0,0,0,10497,0,0
gpqa_encoded,13,3,0,0,0,0,3951,0,0
gpqa_encoded,13,4,0,1,0,0,4035,0,1
gpqa_encoded,13,5,0,1,0,0,3843,0,1
gpqa_encoded,13,6,0,0,0,0,5973,0,0
gpqa_encoded,13,7,0,0,0,0,3742,0,0
gpqa_encoded,13,8,0,0,0,0,3488,0,0
gpqa_encoded,13,9,0,1,0,0,7253,0,1
gpqa_encoded,13,10,0,0,0,0,2937,0,0
gpqa_encoded,13,11,0,0,0,0,19077,0,0
gpqa_encoded,13,12,0,1,0,0,6126,0,1
gpqa_encoded,13,13,0,0,0,0,8307,0,0
gpqa_encoded,13,14,0,0,0,0,4533,0,0
gpqa_encoded,13,15,0,1,0,0,7445,0,1
gpqa_encoded,13,16,0,0,0,0,4351,0,0
gpqa_encoded,13,17,0,0,0,0,6754,0,0
gpqa_encoded,13,18,0,0,0,0,4828,0,0
gpqa_encoded,13,19,0,0,0,0,3620,0,0
gpqa_encoded,13,20,0,1,0,0,6434,0,1
gpqa_encoded,13,21,0,0,0,0,5556,0,0
gpqa_encoded,13,22,0,1,0,0,5608,0,1
gpqa_encoded,13,23,0,1,0,0,6619,0,1
gpqa_encoded,13,0,1,0,0,0,2872,0,0
gpqa_encoded,13,1,1,0,0,0,6508,0,0
gpqa_encoded,13,2,1,1,1,0,6932,0,1
gpqa_encoded,13,3,1,0,0,0,5743,0,0
gpqa_encoded,13,4,1,0,1,0,5516,0,0
gpqa_encoded,13,5,1,1,0,0,4801,0,1
gpqa_encoded,13,6,1,0,0,0,6744,0,0
gpqa_encoded,13,7,1,1,1,0,1335,0,1
gpqa_encoded,13,8,1,0,0,0,4944,0,0
gpqa_encoded,13,9,1,1,1,0,4461,0,1
gpqa_encoded,13,10,1,1,1,0,2442,0,1
gpqa_encoded,13,11,1,0,0,0,9671,0,0
gpqa_encoded,13,12,1,1,0,0,8242,0,1
gpqa_encoded,13,13,1,1,0,0,4429,0,1
gpqa_encoded,13,14,1,0,0,0,3580,0,0
gpqa_encoded,13,15,1,0,1,0,8865,0,0
gpqa_encoded,13,16,1,1,1,0,4609,0,1
gpqa_encoded,13,17,1,1,0,0,1555,0,1
gpqa_encoded,13,18,1,1,0,0,6613,0,1
gpqa_encoded,13,19,1,1,1,0,834,0,1
gpqa_encoded,13,20,1,0,0,0,4564,0,0
gpqa_encoded,13,21,1,1,0,0,2720,0,1
gpqa_encoded,13,22,1,1,0,0,5389,0,1
gpqa_encoded,13,23,1,1,0,0,7150,0,1
gpqa_encoded,332,0,0,1,0,0,1147,0,1
gpqa_encoded,332,1,0,0,0,0,1752,0,0
gpqa_encoded,332,2,0,1,0,0,2811,0,1
gpqa_encoded,332,3,0,1,0,0,1810,0,1
gpqa_encoded,332,4,0,1,0,0,2095,0,1
gpqa_encoded,332,5,0,1,0,0,3223,0,1
gpqa_encoded,332,6,0,1,0,0,1804,0,1
gpqa_encoded,332,7,0,1,0,0,2476,0,1
gpqa_encoded,332,8,0,1,0,0,1846,0,1
gpqa_encoded,332,9,0,1,0,0,1744,0,1
gpqa_encoded,332,10,0,0,0,0,2146,0,0
gpqa_encoded,332,11,0,1,0,0,3026,0,1
gpqa_encoded,332,12,0,0,0,0,2671,0,0
gpqa_encoded,332,13,0,0,0,0,2755,0,0
gpqa_encoded,332,14,0,0,0,0,4139,0,0
gpqa_encoded,332,15,0,1,0,0,3142,0,1
gpqa_encoded,332,16,0,0,0,0,2579,0,0
gpqa_encoded,332,17,0,1,0,0,1194,0,1
gpqa_encoded,332,18,0,0,0,0,1373,0,0
gpqa_encoded,332,19,0,1,0,0,2009,0,1
gpqa_encoded,332,20,0,0,0,0,2326,0,0
gpqa_encoded,332,21,0,1,0,0,3916,0,1
gpqa_encoded,332,22,0,1,0,0,1539,0,1
gpqa_encoded,332,23,0,1,0,0,2780,0,1
gpqa_encoded,332,0,1,1,1,0,1281,0,1
gpqa_encoded,332,1,1,1,1,0,3325,0,1
gpqa_encoded,332,2,1,1,1,0,5232,0,1
gpqa_encoded,332,3,1,1,0,0,3246,0,1
gpqa_encoded,332,4,1,1,1,0,1330,0,1
gpqa_encoded,332,5,1,1,0,0,2468,0,1
gpqa_encoded,332,6,1,1,1,0,1568,0,1
gpqa_encoded,332,7,1,1,0,0,5176,0,1
gpqa_encoded,332,8,1,1,1,0,2312,0,1
gpqa_encoded,332,9,1,1,0,0,4463,0,1
gpqa_encoded,332,10,1,1,0,0,2091,0,1
gpqa_encoded,332,11,1,0,0,0,1964,0,0
gpqa_encoded,332,12,1,1,1,0,1240,0,1
gpqa_encoded,332,13,1,1,1,0,4993,0,1
gpqa_encoded,332,14,1,0,0,0,4171,0,0
gpqa_encoded,332,15,1,1,1,0,2475,0,1
gpqa_encoded,332,16,1,1,0,0,2460,0,1
gpqa_encoded,332,17,1,0,0,0,2236,0,0
gpqa_encoded,332,18,1,1,1,0,3050,0,1
gpqa_encoded,332,19,1,1,1,0,4578,0,1
gpqa_encoded,332,20,1,1,0,0,2003,0,1
gpqa_encoded,332,21,1,1,1,0,1486,0,1
gpqa_encoded,332,22,1,1,1,0,2489,0,1
gpqa_encoded,332,23,1,1,1,0,1727,0,1
gpqa_encoded,264,0,0,0,0,0,2842,0,0
gpqa_encoded,264,1,0,0,0,0,5619,0,0
gpqa_encoded,264,2,0,0,0,0,1795,0,0
gpqa_encoded,264,3,0,0,0,0,3284,0,0
gpqa_encoded,264,4,0,1,0,0,4724,0,1
gpqa_encoded,264,5,0,1,0,0,7419,0,1
gpqa_encoded,264,6,0,1,0,0,1878,0,1
gpqa_encoded,264,7,0,0,0,0,2090,0,0
gpqa_encoded,264,8,0,1,0,0,2028,0,1
gpqa_encoded,264,9,0,0,0,0,2713,0,0
gpqa_encoded,264,10,0,1,0,0,2658,0,1
gpqa_encoded,264,11,0,0,0,0,2773,0,0
gpqa_encoded,264,12,0,1,0,0,1065,0,1
gpqa_encoded,264,13,0,0,0,0,2259,0,0
gpqa_encoded,264,14,0,0,0,0,17586,0,0
gpqa_encoded,264,15,0,1,0,0,2668,0,1
gpqa_encoded,264,16,0,1,0,0,3521,0,1
gpqa_encoded,264,17,0,0,0,0,1600,0,0
gpqa_encoded,264,18,0,0,0,0,5412,0,0
gpqa_encoded,264,19,0,0,0,0,1612,0,0
gpqa_encoded,264,20,0,1,0,0,3748,0,1
gpqa_encoded,264,21,0,1,0,0,1972,0,1
gpqa_encoded,264,22,0,0,0,0,2482,0,0
gpqa_encoded,264,23,0,0,0,0,2883,0,0
gpqa_encoded,264,0,1,1,0,0,3171,0,1
gpqa_encoded,264,1,1,0,0,0,3186,0,0
gpqa_encoded,264,2,1,0,0,0,3205,0,0
gpqa_encoded,264,3,1,1,0,0,6397,0,1
gpqa_encoded,264,4,1,0,0,0,7899,0,0
gpqa_encoded,264,5,1,1,0,0,8207,0,1
gpqa_encoded,264,6,1,1,0,0,2661,0,1
gpqa_encoded,264,7,1,1,0,0,4560,0,1
gpqa_encoded,264,8,1,1,0,0,2583,0,1
gpqa_encoded,264,9,1,0,0,0,10731,0,0
gpqa_encoded,264,10,1,1,0,0,5560,0,1
gpqa_encoded,264,11,1,1,0,0,5850,0,1
gpqa_encoded,264,12,1,1,0,0,2432,0,1
gpqa_encoded,264,13,1,1,0,0,3411,0,1
gpqa_encoded,264,14,1,0,0,0,10720,0,0
gpqa_encoded,264,15,1,0,0,0,5852,1,0
gpqa_encoded,264,16,1,1,0,0,3998,0,1
gpqa_encoded,264,17,1,1,0,0,3530,0,1
gpqa_encoded,264,18,1,0,0,0,5576,0,0
gpqa_encoded,264,19,1,1,0,0,8653,0,1
gpqa_encoded,264,20,1,1,1,0,2439,0,1
gpqa_encoded,264,21,1,1,0,0,4905,0,1
gpqa_encoded,264,22,1,0,1,0,4132,0,0
gpqa_encoded,264,23,1,0,0,0,5668,0,0
gpqa_encoded,617,0,0,0,0,0,3045,0,0
gpqa_encoded,617,1,0,0,0,0,1034,0,0
gpqa_encoded,617,2,0,0,0,0,1589,0,0
gpqa_encoded,617,3,0,0,0,0,1783,0,0
gpqa_encoded,617,4,0,0,0,0,4929,0,0
gpqa_encoded,617,5,0,0,0,0,813,0,0
gpqa_encoded,617,6,0,1,0,0,1116,0,1
gpqa_encoded,617,7,0,0,0,0,1230,0,0
gpqa_encoded,617,8,0,1,0,0,1410,0,1
gpqa_encoded,617,9,0,1,0,0,646,0,1
gpqa_encoded,617,10,0,0,0,0,975,0,0
gpqa_encoded,617,11,0,0,0,0,1254,0,0
gpqa_encoded,617,12,0,1,0,0,1752,0,1
gpqa_encoded,617,13,0,1,0,0,1257,0,1
gpqa_encoded,617,14,0,1,0,0,2334,0,1
gpqa_encoded,617,15,0,1,0,0,563,0,1
gpqa_encoded,617,16,0,1,0,0,1995,0,1
gpqa_encoded,617,17,0,1,0,0,760,0,1
gpqa_encoded,617,18,0,0,0,0,1025,0,0
gpqa_encoded,617,19,0,1,0,0,1424,0,1
gpqa_encoded,617,20,0,0,0,0,1921,0,0
gpqa_encoded,617,21,0,1,0,0,921,0,1
gpqa_encoded,617,22,0,0,0,0,1480,0,0
gpqa_encoded,617,23,0,1,0,0,1071,0,1
gpqa_encoded,617,0,1,1,1,0,2885,0,1
gpqa_encoded,617,1,1,1,0,0,1510,0,1
gpqa_encoded,617,2,1,1,1,0,1140,0,1
gpqa_encoded,617,3,1,1,0,0,2570,0,1
gpqa_encoded,617,4,1,1,0,0,1944,0,1
gpqa_encoded,617,5,1,1,0,0,2522,0,1
gpqa_encoded,617,6,1,1,0,0,1800,0,1
gpqa_encoded,617,7,1,1,0,0,1672,0,1
gpqa_encoded,617,8,1,1,1,0,1882,0,1
gpqa_encoded,617,9,1,0,0,0,1082,0,0
gpqa_encoded,617,10,1,0,0,0,2270,0,0
gpqa_encoded,617,11,1,1,0,0,1541,0,1
gpqa_encoded,617,12,1,1,0,0,1512,0,1
gpqa_encoded,617,13,1,1,0,0,1638,0,1
gpqa_encoded,617,14,1,1,0,0,1902,0,1
gpqa_encoded,617,15,1,1,1,0,1793,0,1
gpqa_encoded,617,16,1,1,0,0,1723,0,1
gpqa_encoded,617,17,1,1,0,0,1145,0,1
gpqa_encoded,617,18,1,1,0,0,1321,0,1
gpqa_encoded,617,19,1,1,0,0,1644,0,1
gpqa_encoded,617,20,1,0,0,0,1518,0,0
gpqa_encoded,617,21,1,1,0,0,2131,0,1
gpqa_encoded,617,22,1,1,0,0,2263,0,1
gpqa_encoded,617,23,1,1,0,0,1497,0,1
gpqa_encoded,544,0,0,1,0,0,4090,0,1
gpqa_encoded,544,1,0,1,0,0,5506,0,1
gpqa_encoded,544,2,0,1,0,0,1637,0,1
gpqa_encoded,544,3,0,0,0,0,5304,0,0
gpqa_encoded,544,4,0,1,0,0,6449,0,1
gpqa_encoded,544,5,0,1,0,0,29932,0,1
gpqa_encoded,544,6,0,0,0,0,4151,0,0
gpqa_encoded,544,7,0,1,0,0,9773,0,1
gpqa_encoded,544,8,0,1,0,0,3929,0,1
gpqa_encoded,544,9,0,1,0,0,3638,0,1
gpqa_encoded,544,10,0,1,0,0,12103,0,1
gpqa_encoded,544,11,0,1,0,0,6703,0,1
gpqa_encoded,544,12,0,1,0,0,9576,0,1
gpqa_encoded,544,13,0,1,0,0,7197,0,1
gpqa_encoded,544,14,0,1,0,0,32317,0,1
gpqa_encoded,544,15,0,1,0,0,5220,0,1
gpqa_encoded,544,16,0,1,0,0,9180,0,1
gpqa_encoded,544,17,0,1,0,0,14649,0,1
gpqa_encoded,544,18,0,1,0,0,9928,0,1
gpqa_encoded,544,19,0,1,0,0,1859,0,1
gpqa_encoded,544,20,0,1,0,0,11808,0,1
gpqa_encoded,544,21,0,1,0,0,5164,0,1
gpqa_encoded,544,22,0,1,0,0,3115,0,1
gpqa_encoded,544,23,0,1,0,0,4779,0,1
gpqa_encoded,544,0,1,1,0,0,6880,0,1
gpqa_encoded,544,1,1,0,0,0,3326,0,0
gpqa_encoded,544,2,1,1,0,0,10234,0,1
gpqa_encoded,544,3,1,1,0,0,8421,0,1
gpqa_encoded,544,4,1,0,0,0,5791,0,0
gpqa_encoded,544,5,1,0,0,0,3817,0,0
gpqa_encoded,544,6,1,1,0,0,6458,0,1
gpqa_encoded,544,7,1,1,0,0,7230,0,1
gpqa_encoded,544,8,1,1,0,0,12684,0,1
gpqa_encoded,544,9,1,1,0,0,13738,0,1
gpqa_encoded,544,10,1,1,0,0,5030,0,1
gpqa_encoded,544,11,1,0,0,0,10012,0,0
gpqa_encoded,544,12,1,1,0,0,4265,0,1
gpqa_encoded,544,13,1,1,0,0,7563,0,1
gpqa_encoded,544,14,1,1,0,0,11421,0,1
gpqa_encoded,544,15,1,1,0,0,8901,0,1
gpqa_encoded,544,16,1,1,0,0,6709,0,1
gpqa_encoded,544,17,1,1,0,0,4279,0,1
gpqa_encoded,544,18,1,1,0,0,4979,0,1
gpqa_encoded,544,19,1,1,0,0,21794,0,1
gpqa_encoded,544,20,1,1,0,0,5844,0,1
gpqa_encoded,544,21,1,0,0,0,2719,0,0
gpqa_encoded,544,22,1,1,0,0,3916,0,1
gpqa_encoded,544,23,1,1,0,0,5972,0,1
gpqa_encoded,29,0,0,0,0,0,8030,0,0
gpqa_encoded,29,1,0,0,0,0,5517,0,0
gpqa_encoded,29,2,0,0,0,0,15052,0,0
gpqa_encoded,29,3,0,0,0,0,3611,0,0
gpqa_encoded,29,4,0,0,0,0,6754,0,0
gpqa_encoded,29,5,0,0,0,0,8776,0,0
gpqa_encoded,29,6,0,0,0,0,8408,0,0
gpqa_encoded,29,7,0,0,0,0,8964,0,0
gpqa_encoded,29,8,0,0,0,0,9016,0,0
gpqa_encoded,29,9,0,0,0,0,10111,0,0
gpqa_encoded,29,10,0,0,0,0,4146,0,0
gpqa_encoded,29,11,0,0,0,0,17186,0,0
gpqa_encoded,29,12,0,0,0,0,7953,0,0
gpqa_encoded,29,13,0,0,0,0,6196,0,0
gpqa_encoded,29,14,0,0,0,0,10522,0,0
gpqa_encoded,29,15,0,0,0,0,13620,0,0
gpqa_encoded,29,16,0,0,0,0,11097,0,0
