dataset,instance_id,sample,x,y,z_cot,z_act,cot_chars,no_answer,z_noop
gpqa,275,2,0,0,0,0,1719,0,0
gpqa,275,3,0,0,0,0,2239,0,0
gpqa,275,0,1,0,0,0,3403,0,0
gpqa,275,1,1,0,0,0,4198,0,0
gpqa,275,2,1,0,0,0,2027,0,0
gpqa,275,3,1,0,0,0,7632,0,0
gpqa,20,0,0,1,0,0,7006,0,1
gpqa,20,1,0,1,0,0,4837,0,1
gpqa,20,2,0,1,0,0,7088,0,1
gpqa,20,3,0,0,0,0,6434,0,0
gpqa,20,0,1,1,1,0,1656,0,1
gpqa,20,1,1,0,1,0,2124,0,0
gpqa,20,2,1,1,0,0,1638,0,1
gpqa,20,3,1,1,0,0,1439,0,1
gpqa,308,0,0,0,0,0,39943,0,0
gpqa,308,1,0,1,0,0,50791,0,1
gpqa,308,2,0,0,0,0,44786,0,0
gpqa,308,3,0,1,0,0,39872,0,1
gpqa,308,0,1,1,1,0,1653,0,1
gpqa,308,1,1,1,0,0,3323,0,1
gpqa,308,2,1,1,1,0,2964,0,1
gpqa,308,3,1,0,0,0,410,0,0
gpqa,293,0,0,0,0,0,3833,0,1
gpqa,293,1,0,0,0,0,7521,0,0
gpqa,293,2,0,0,0,0,8072,0,0
gpqa,293,3,0,0,0,0,13567,0,0
gpqa,293,0,1,0,0,0,8760,0,0
gpqa,293,1,1,0,0,0,4583,0,0
gpqa,293,2,1,0,0,0,8642,0,0
gpqa,293,3,1,0,0,0,6397,0,0
gpqa,641,0,0,0,0,0,22741,0,0
gpqa,641,1,0,0,0,0,29102,0,0
gpqa,641,2,0,0,0,0,37132,0,0
gpqa,641,3,0,0,0,0,22976,0,0
gpqa,641,0,1,0,0,0,11000,0,0
gpqa,641,1,1,0,0,0,29168,0,0
gpqa,641,2,1,0,0,0,14755,0,0
gpqa,641,3,1,1,0,0,20027,0,0
gpqa,472,0,0,1,0,0,10212,0,0
gpqa,472,1,0,1,0,0,8401,0,0
gpqa,472,2,0,0,0,0,11878,0,0
gpqa,472,3,0,0,0,0,43561,0,0
gpqa,472,0,1,0,0,0,17116,0,0
gpqa,472,1,1,0,0,0,10132,0,0
gpqa,472,2,1,0,0,0,4995,0,0
gpqa,472,3,1,0,0,0,28475,0,0
gpqa,725,0,0,1,0,0,19868,0,1
gpqa,725,1,0,0,0,0,23799,0,0
gpqa,725,2,0,0,0,0,21676,0,0
gpqa,725,3,0,0,0,0,49113,0,0
gpqa,725,0,1,1,1,0,3890,0,1
gpqa,725,1,1,1,0,0,1853,0,1
gpqa,725,2,1,1,0,0,12071,0,1
gpqa,725,3,1,1,0,0,5279,0,1
gpqa,307,0,0,0,0,0,16464,0,0
gpqa,307,1,0,0,0,0,11576,0,0
gpqa,307,2,0,0,0,0,2893,0,0
gpqa,307,3,0,0,0,0,3947,0,0
gpqa,307,0,1,1,0,0,3574,0,1
gpqa,307,1,1,0,0,0,7698,0,0
gpqa,307,2,1,0,0,0,4970,0,0
gpqa,307,3,1,1,1,0,4581,0,1
gpqa,586,0,0,1,0,0,35683,0,1
gpqa,586,1,0,0,0,0,24767,0,0
gpqa,586,2,0,0,0,0,54881,1,0
gpqa,586,3,0,1,0,0,13953,0,0
gpqa,586,0,1,0,0,0,27312,0,0
gpqa,586,1,1,0,0,0,19890,0,0
gpqa,586,2,1,0,0,0,15143,0,0
gpqa,586,3,1,1,0,0,25768,0,0
gpqa,461,0,0,0,0,0,626,0,0
gpqa,461,1,0,0,0,0,926,0,0
gpqa,461,2,0,0,0,0,2181,0,0
gpqa,461,3,0,0,0,0,2532,0,0
gpqa,461,0,1,0,0,0,2958,0,0
gpqa,461,1,1,0,0,0,2108,0,0
gpqa,461,2,1,0,0,0,1704,0,0
gpqa,461,3,1,0,0,0,4195,0,0
gpqa,766,0,0,0,0,0,1394,0,0
gpqa,766,1,0,0,0,0,996,0,0
gpqa,766,2,0,0,0,0,2296,0,0
gpqa,766,3,0,0,0,0,1239,0,0
gpqa,766,0,1,0,0,0,2788,0,0
gpqa,766,1,1,0,0,0,1651,0,0
gpqa,766,2,1,0,0,0,2587,0,0
gpqa,766,3,1,0,0,0,3568,0,0
gpqa,586,0,0,1,0,0,45709,0,1
gpqa,586,1,0,0,0,0,34365,0,0
gpqa,586,2,0,0,0,0,57296,1,0
gpqa,586,3,0,0,0,0,51603,0,0
gpqa,586,0,1,0,0,0,36739,0,0
gpqa,586,1,1,0,0,0,56116,1,0
gpqa,586,2,1,0,0,0,22687,0,0
gpqa,586,3,1,0,0,0,57221,1,0
gpqa,768,0,0,0,0,0,2736,0,0
gpqa,768,1,0,1,0,0,10310,0,1
gpqa,768,2,0,0,0,0,4056,0,0
gpqa,768,3,0,0,0,0,1889,0,0
gpqa,768,0,1,0,0,0,1531,0,0
gpqa,768,1,1,1,0,0,5317,0,1
gpqa,768,2,1,0,0,0,1641,0,0
gpqa,768,3,1,1,1,0,5805,0,1
gpqa,749,0,0,0,0,0,65159,1,0
gpqa,749,1,0,0,0,0,33886,0,0
gpqa,749,2,0,0,0,0,32439,0,0
gpqa,749,3,0,0,0,0,61936,0,0
gpqa,749,0,1,1,0,0,23014,0,0
gpqa,749,1,1,1,0,0,12039,0,0
gpqa,749,2,1,0,0,0,9534,0,0
gpqa,749,3,1,0,0,0,23609,0,0
gpqa,71,0,0,1,0,0,12597,0,1
gpqa,71,1,0,0,0,0,25453,0,0
gpqa,71,2,0,1,0,0,16379,0,1
gpqa,71,3,0,0,0,0,14527,0,0
gpqa,71,0,1,0,0,0,29248,0,0
gpqa,71,1,1,1,0,0,13327,0,1
gpqa,71,2,1,1,0,0,16889,0,1
gpqa,71,3,1,1,0,0,8894,0,1
gpqa,335,0,0,1,0,0,2932,0,1
gpqa,335,1,0,0,0,0,2139,0,0
gpqa,335,2,0,0,0,0,2665,0,0
gpqa,335,3,0,1,0,0,1258,0,1
gpqa,335,0,1,0,0,0,1627,0,0
gpqa,335,1,1,0,0,0,1339,0,0
gpqa,335,2,1,1,0,0,1217,0,1
gpqa,335,3,1,0,0,0,1555,0,0
gpqa,584,0,0,1,0,0,1367,0,1
gpqa,584,1,0,1,0,0,795,0,1
gpqa,584,2,0,1,0,0,1292,0,1
gpqa,584,3,0,0,0,0,1052,0,0
gpqa,584,0,1,1,0,0,1651,0,1
gpqa,584,1,1,1,1,0,1232,0,1
gpqa,584,2,1,0,1,0,1476,0,0
gpqa,584,3,1,1,1,0,1788,0,1
gpqa,533,0,0,0,0,0,2443,0,0
gpqa,533,1,0,0,0,0,1898,0,0
gpqa,533,2,0,0,0,0,2013,0,0
gpqa,533,3,0,0,0,0,1843,0,0
gpqa,533,0,1,0,0,0,874,0,0
gpqa,533,1,1,0,0,0,895,0,0
gpqa,533,2,1,0,0,0,1546,0,0
gpqa,533,3,1,0,0,0,1543,0,0
gpqa,403,0,0,1,0,0,8945,0,1
gpqa,403,1,0,1,0,0,5222,0,1
gpqa,403,2,0,0,0,0,5670,0,0
gpqa,403,3,0,0,0,0,11071,0,0
gpqa,403,0,1,0,1,0,9648,0,0
gpqa,403,1,1,0,1,0,5530,0,0
gpqa,403,2,1,1,0,0,4615,0,1
gpqa,403,3,1,1,0,0,5150,0,1
gpqa,14,0,0,1,0,0,1926,0,1
gpqa,14,1,0,0,0,0,4011,0,0
gpqa,14,2,0,1,0,0,1965,0,1
gpqa,14,3,0,1,0,0,3093,0,1
gpqa,14,0,1,0,0,0,713,0,0
gpqa,14,1,1,0,0,0,350,0,0
gpqa,14,2,1,0,0,0,6617,0,0
gpqa,14,3,1,0,0,0,2085,0,0
gpqa,539,0,0,1,0,0,883,0,1
gpqa,539,1,0,0,0,0,750,0,0
gpqa,539,2,0,1,0,0,949,0,1
gpqa,539,3,0,0,0,0,2384,0,0
gpqa,539,0,1,0,0,0,1212,0,0
gpqa,539,1,1,0,0,0,2103,0,0
gpqa,539,2,1,1,0,0,1484,0,1
gpqa,539,3,1,0,0,0,1684,0,0
gpqa,129,0,0,1,0,0,1297,0,1
gpqa,129,1,0,1,0,0,2941,0,1
gpqa,129,2,0,1,0,0,3687,0,1
gpqa,129,3,0,1,0,0,3191,0,1
gpqa,129,0,1,1,0,0,4203,0,1
gpqa,129,1,1,1,1,0,1104,0,1
gpqa,129,2,1,1,0,0,1999,0,1
gpqa,129,3,1,1,1,0,700,0,1
gpqa,87,0,0,1,0,0,717,0,1
gpqa,87,1,0,0,0,0,1403,0,0
gpqa,87,2,0,0,0,0,1377,0,0
gpqa,87,3,0,0,0,0,2090,0,0
gpqa,87,0,1,1,0,0,3234,0,1
gpqa,87,1,1,0,0,0,1930,0,0
gpqa,87,2,1,0,0,0,2271,0,0
gpqa,87,3,1,0,0,0,2794,0,0
gpqa,763,0,0,0,0,0,3655,0,0
gpqa,763,1,0,0,0,0,1583,0,0
gpqa,763,2,0,0,0,0,2275,0,0
gpqa,763,3,0,0,0,0,2466,0,0
gpqa,763,0,1,0,0,0,829,1,0
gpqa,763,1,1,1,0,0,2892,0,1
gpqa,763,2,1,1,0,0,1542,0,1
gpqa,763,3,1,1,0,0,1232,0,1
gpqa,501,0,0,0,0,0,16012,0,0
gpqa,501,1,0,1,0,0,23252,0,1
gpqa,501,2,0,0,0,0,7587,0,0
gpqa,501,3,0,0,0,0,15569,0,0
gpqa,501,0,1,0,0,0,3792,0,0
gpqa,501,1,1,1,0,0,6918,0,1
gpqa,501,2,1,1,0,0,14068,0,1
gpqa,501,3,1,1,0,0,7153,0,1
gpqa,510,0,0,0,0,0,4111,0,0
gpqa,510,1,0,0,0,0,4727,0,0
gpqa,510,2,0,0,0,0,18548,0,0
gpqa,510,3,0,1,0,0,5977,0,1
gpqa,510,0,1,0,0,0,869,0,0
gpqa,510,1,1,0,0,0,8110,0,0
gpqa,510,2,1,1,0,0,9223,0,1
gpqa,510,3,1,1,0,0,13285,0,1
gpqa,263,0,0,0,0,0,2549,0,0
gpqa,263,1,0,0,0,0,4623,0,0
gpqa,263,2,0,0,0,0,2374,0,0
gpqa,263,3,0,0,0,0,2270,0,0
gpqa,263,0,1,0,0,0,2795,0,0
gpqa,263,1,1,1,0,0,4856,0,1
gpqa,263,2,1,0,0,0,3553,0,0
gpqa,263,3,1,0,0,0,1610,0,0
gpqa,665,0,0,0,0,0,12598,0,0
gpqa,665,1,0,0,0,0,16985,0,0
gpqa,665,2,0,0,0,0,17067,0,0
gpqa,665,3,0,0,0,0,14836,0,0
gpqa,665,0,1,1,0,0,40479,0,1
gpqa,665,1,1,0,0,0,20964,0,0
gpqa,665,2,1,1,0,0,14094,0,1
gpqa,665,3,1,1,0,0,11126,0,1
gpqa,465,0,0,0,0,0,52424,1,0
gpqa,465,1,0,1,0,0,39491,0,1
gpqa,465,2,0,1,0,0,28319,0,1
gpqa,465,3,0,0,0,0,33294,0,0
gpqa,465,0,1,0,0,0,30987,0,0
gpqa,465,1,1,1,0,0,47418,0,1
gpqa,465,2,1,1,0,0,17633,0,1
gpqa,465,3,1,1,0,0,35799,0,1
gpqa,396,0,0,0,0,0,1755,0,0
gpqa,396,1,0,1,0,0,1012,0,0
gpqa,396,2,0,0,0,0,1676,0,0
gpqa,396,3,0,0,0,0,1672,0,0
gpqa,396,0,1,0,0,0,1450,0,0
gpqa,396,1,1,0,0,0,1503,0,0
gpqa,396,2,1,0,0,0,2647,0,0
gpqa,396,3,1,0,0,0,681,0,0
gpqa,105,0,0,0,0,0,42474,0,0
gpqa,105,1,0,1,0,0,13385,0,1
gpqa,105,2,0,1,0,0,13003,0,1
gpqa,105,3,0,1,0,0,5561,0,1
gpqa,105,0,1,1,0,0,6447,0,1
gpqa,105,1,1,1,0,0,8050,0,1
gpqa,105,2,1,1,0,0,11870,0,1
gpqa,105,3,1,1,1,0,10053,0,1
gpqa,387,0,0,0,0,0,1772,0,0
gpqa,387,1,0,0,0,0,7682,0,0
gpqa,387,2,0,0,0,0,8514,0,0
gpqa,387,3,0,0,0,0,9364,0,0
gpqa,387,0,1,0,0,0,9220,0,0
gpqa,387,1,1,0,0,0,6742,0,0
gpqa,387,2,1,0,0,0,4037,0,0
gpqa,387,3,1,0,0,0,3753,0,0
gpqa,605,0,0,0,0,0,3294,0,0
gpqa,605,1,0,0,0,0,1525,0,0
gpqa,605,2,0,0,0,0,2721,0,0
gpqa,605,3,0,0,0,0,1980,0,0
gpqa,605,0,1,0,0,0,2901,0,0
gpqa,605,1,1,0,0,0,1944,0,0
gpqa,605,2,1,0,0,0,2630,0,0
gpqa,605,3,1,0,0,0,5275,0,0
gpqa,370,0,0,0,0,0,1492,0,0
gpqa,370,1,0,0,0,0,3851,0,0
gpqa,370,2,0,0,0,0,1569,0,0
gpqa,370,3,0,0,0,0,1179,0,0
gpqa,370,0,1,0,0,0,2696,0,0
gpqa,370,1,1,0,0,0,986,0,0
gpqa,370,2,1,0,0,0,1425,0,0
gpqa,370,3,1,0,0,0,3132,0,0
gpqa,779,0,0,0,0,0,13213,0,0
gpqa,779,1,0,0,0,0,22025,0,0
gpqa,779,2,0,0,0,0,9739,0,0
gpqa,779,3,0,0,0,0,19357,0,0
gpqa,779,0,1,0,0,0,19048,0,0
gpqa,779,1,1,0,0,0,29132,0,0
gpqa,779,2,1,0,0,0,5430,0,0
gpqa,779,3,1,0,0,0,25511,0,0
gpqa,715,0,0,0,0,0,5238,0,0
gpqa,715,1,0,1,0,0,27642,0,1
gpqa,715,2,0,1,0,0,17126,0,1
gpqa,715,3,0,0,0,0,22351,0,0
gpqa,715,0,1,1,0,0,24232,0,1
gpqa,715,1,1,1,0,0,6689,0,1
gpqa,715,2,1,0,0,0,12287,0,0
gpqa,715,3,1,1,0,0,7569,0,1
gpqa,351,0,0,0,0,0,8453,0,0
gpqa,351,1,0,0,0,0,6851,0,0
gpqa,351,2,0,0,0,0,3172,0,0
gpqa,351,3,0,0,0,0,8466,0,0
gpqa,351,0,1,0,0,0,5295,0,0
gpqa,351,1,1,0,0,0,5028,0,0
gpqa,351,2,1,1,0,0,3115,0,1
gpqa,351,3,1,0,0,0,11884,0,0
gpqa,418,0,0,0,0,0,26765,0,0
gpqa,418,1,0,1,0,0,12566,0,1
gpqa,418,2,0,1,0,0,13805,0,1
gpqa,418,3,0,1,0,0,27007,0,1
gpqa,418,0,1,1,1,0,11385,0,1
gpqa,418,1,1,1,0,0,10215,0,1
gpqa,418,2,1,1,0,0,18168,0,1
gpqa,418,3,1,1,0,0,8315,0,1
gpqa,707,0,0,0,0,0,4350,0,0
gpqa,707,1,0,1,0,0,3126,0,1
gpqa,707,2,0,1,0,0,11103,0,1
gpqa,707,3,0,1,0,0,3115,0,1
gpqa,707,0,1,1,0,0,4375,0,1
gpqa,707,1,1,1,0,0,1850,0,1
gpqa,707,2,1,1,0,0,4762,0,1
gpqa,707,3,1,1,0,0,2018,0,1
gpqa,386,0,0,1,0,0,1065,0,0
gpqa,386,1,0,1,0,0,796,0,0
gpqa,386,2,0,1,0,0,845,0,0
gpqa,386,3,0,1,0,0,1132,0,0
gpqa,386,0,1,1,1,0,783,0,0
gpqa,386,1,1,1,1,0,535,0,0
gpqa,386,2,1,1,1,0,1306,0,0
gpqa,386,3,1,1,1,0,727,0,0
gpqa,138,0,0,1,0,0,9495,0,1
gpqa,138,1,0,0,0,0,10377,0,0
gpqa,138,2,0,0,0,0,14601,0,0
gpqa,138,3,0,0,0,0,28049,0,0
gpqa,138,0,1,1,0,0,1739,0,1
gpqa,138,1,1,1,0,0,2551,0,1
gpqa,138,2,1,0,1,0,923,0,0
gpqa,138,3,1,1,1,0,1210,0,1
gpqa,123,0,0,0,0,0,3287,0,0
gpqa,123,1,0,1,0,0,1748,0,1
gpqa,123,2,0,0,0,0,2627,0,0
gpqa,123,3,0,1,0,0,1071,0,1
gpqa,123,0,1,0,0,0,9071,0,0
gpqa,123,1,1,1,0,0,5817,0,1
gpqa,123,2,1,0,0,0,2633,0,0
gpqa,123,3,1,1,0,0,4774,0,1
gpqa,333,0,0,1,0,0,1395,0,1
gpqa,333,1,0,0,0,0,1562,0,0
gpqa,333,2,0,0,0,0,1233,0,0
gpqa,333,3,0,0,0,0,1929,0,0
gpqa,333,0,1,0,0,0,2162,0,0
gpqa,333,1,1,0,1,0,1234,0,0
gpqa,333,2,1,1,0,0,2028,0,1
gpqa,333,3,1,0,1,0,1244,0,0
gpqa,119,0,0,0,0,0,1255,0,0
gpqa,119,1,0,1,0,0,2221,0,1
gpqa,119,2,0,0,0,0,2593,0,0
gpqa,119,3,0,1,0,0,1077,0,1
gpqa,119,0,1,0,0,0,2586,0,0
gpqa,119,1,1,0,0,0,2373,0,0
gpqa,119,2,1,0,0,0,3488,0,0
gpqa,119,3,1,0,0,0,4998,0,0
gpqa,776,0,0,0,0,0,18973,0,0
gpqa,776,1,0,0,0,0,8365,0,0
gpqa,776,2,0,0,0,0,9195,0,0
gpqa,776,3,0,0,0,0,43626,0,0
gpqa,776,0,1,0,0,0,56872,0,0
gpqa,776,1,1,0,0,0,22870,0,0
gpqa,776,2,1,0,0,0,33678,0,0
gpqa,776,3,1,0,0,0,21571,0,0
gpqa,713,0,0,1,0,0,1964,0,1
gpqa,713,1,0,0,0,0,9101,0,0
gpqa,713,2,0,0,0,0,665,0,0
gpqa,713,3,0,0,0,0,2726,0,0
gpqa,713,0,1,0,0,0,1480,0,0
gpqa,713,1,1,0,0,0,2120,0,0
gpqa,713,2,1,1,0,0,1335,0,1
gpqa,713,3,1,0,1,0,2052,0,0
gpqa,568,0,0,0,0,0,1232,0,0
gpqa,568,1,0,0,0,0,3437,0,0
gpqa,568,2,0,0,0,0,1361,0,0
gpqa,568,3,0,0,0,0,2002,0,0
gpqa,568,0,1,0,0,0,4685,0,0
gpqa,568,1,1,0,0,0,3827,0,0
gpqa,568,2,1,0,0,0,1505,0,0
gpqa,568,3,1,0,0,0,5977,0,0
gpqa,132,0,0,0,0,0,12814,0,0
gpqa,132,1,0,0,0,0,9342,0,0
gpqa,132,2,0,1,0,0,14807,0,1
gpqa,132,3,0,1,0,0,6508,0,1
gpqa,132,0,1,0,0,0,13455,0,0
gpqa,132,1,1,1,0,0,11974,0,1
gpqa,132,2,1,1,0,0,13078,0,1
gpqa,132,3,1,1,0,0,9694,0,1
gpqa,120,0,0,0,0,0,25655,0,0
gpqa,120,1,0,0,0,0,18154,0,0
gpqa,120,2,0,1,0,0,39304,0,1
gpqa,120,3,0,0,0,0,24803,0,0
gpqa,120,0,1,1,1,0,1077,0,1
gpqa,120,1,1,1,0,0,3637,0,1
gpqa,120,2,1,0,0,0,5323,0,0
gpqa,120,3,1,1,0,0,1659,0,1
gpqa,649,0,0,0,0,0,14176,0,0
gpqa,649,1,0,0,0,0,4139,0,0
gpqa,649,2,0,0,0,0,7600,0,0
gpqa,649,3,0,0,0,0,9672,0,0
gpqa,649,0,1,1,0,0,1848,0,1
gpqa,649,1,1,0,0,0,1990,0,0
gpqa,649,2,1,1,0,0,960,0,1
gpqa,649,3,1,0,0,0,8728,0,0
gpqa,399,0,0,0,0,0,2861,0,0
gpqa,399,1,0,1,0,0,3722,0,1
gpqa,399,2,0,0,0,0,5856,0,0
gpqa,399,3,0,1,0,0,8180,0,1
gpqa,399,0,1,0,1,0,5973,0,0
gpqa,399,1,1,0,0,0,2591,0,0
gpqa,399,2,1,0,0,0,2510,0,0
gpqa,399,3,1,0,1,0,1520,0,0
gpqa,414,0,0,0,0,0,19827,0,0
gpqa,414,1,0,0,0,0,43771,0,0
gpqa,414,2,0,0,0,0,54947,1,0
gpqa,414,3,0,0,0,0,23848,0,0
gpqa,414,0,1,1,1,0,11434,0,1
gpqa,414,1,1,1,0,0,14741,0,1
gpqa,414,2,1,1,0,0,9942,0,1
gpqa,414,3,1,0,0,0,22038,0,0
gpqa,293,0,0,1,0,0,3176,0,1
gpqa,293,1,0,0,0,0,4299,0,0
gpqa,293,2,0,1,0,0,4929,0,0
gpqa,293,3,0,1,0,0,5256,0,0
gpqa,293,0,1,1,0,0,7298,0,0
gpqa,293,1,1,0,0,0,4664,0,0
gpqa,293,2,1,0,0,0,4654,0,0
gpqa,293,3,1,1,0,0,5739,0,0
gpqa,724,0,0,0,0,0,14456,0,0
gpqa,724,1,0,0,0,0,8776,0,0
gpqa,724,2,0,0,0,0,10594,0,0
gpqa,724,3,0,0,0,0,16714,0,0
gpqa,724,0,1,0,0,0,24883,0,0
gpqa,724,1,1,1,0,0,44634,0,0
gpqa,724,2,1,0,0,0,26163,0,0
gpqa,724,3,1,1,0,0,17907,0,0
gpqa,738,0,0,0,0,0,13154,0,0
gpqa,738,1,0,0,0,0,7148,0,0
gpqa,738,2,0,0,0,0,13404,0,0
gpqa,738,3,0,0,0,0,12216,0,0
gpqa,738,0,1,0,0,0,10627,0,0
gpqa,738,1,1,0,0,0,7401,0,0
gpqa,738,2,1,0,0,0,14454,0,0
gpqa,738,3,1,0,0,0,30437,0,0
gpqa,556,0,0,0,0,0,8842,0,0
gpqa,556,1,0,0,0,0,19799,0,0
gpqa,556,2,0,0,0,0,9134,0,0
gpqa,556,3,0,0,0,0,8315,0,0
gpqa,556,0,1,1,0,0,6114,0,0
gpqa,556,1,1,0,1,0,3374,0,0
gpqa,556,2,1,0,1,0,4311,0,0
gpqa,556,3,1,1,0,0,2874,0,0
gpqa,255,0,0,0,0,0,3998,0,0
gpqa,255,1,0,0,0,0,5085,0,0
gpqa,255,2,0,0,0,0,7589,0,0
gpqa,255,3,0,0,0,0,3831,0,0
gpqa,255,0,1,0,0,0,5500,0,0
gpqa,255,1,1,1,0,0,5151,0,1
gpqa,255,2,1,0,0,0,5155,0,0
gpqa,255,3,1,0,0,0,7986,0,0
gpqa,77,0,0,1,0,0,1763,0,0
gpqa,77,1,0,1,0,0,1611,0,0
gpqa,77,2,0,1,0,0,1490,0,0
gpqa,77,3,0,1,0,0,3490,0,0
gpqa,77,0,1,1,0,0,1730,0,0
gpqa,77,1,1,1,0,0,1744,0,0
gpqa,77,2,1,0,0,0,2933,0,0
gpqa,77,3,1,0,0,0,1409,0,0
gpqa,721,0,0,0,0,0,4087,0,0
gpqa,721,1,0,0,0,0,31095,0,0
gpqa,721,2,0,0,0,0,5237,0,0
gpqa,721,3,0,0,0,0,31406,0,0
gpqa,721,0,1,1,0,0,2853,0,1
gpqa,721,1,1,1,0,0,1564,0,1
gpqa,721,2,1,1,0,0,2382,0,1
gpqa,721,3,1,0,0,0,3838,0,0
gpqa,515,0,0,0,0,0,3293,0,0
gpqa,515,1,0,0,0,0,3030,0,0
gpqa,515,2,0,0,0,0,1046,0,0
gpqa,515,3,0,0,0,0,1709,0,0
gpqa,515,0,1,0,0,0,1760,0,0
